RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
0.7,28.3,24.8,26.6,2,360,11.57,10.74,11.05
0,31.5,25.3,28.4,2,360,11.55,10.75,11.02
0,32,24.6,28.3,3,20,11.47,10.79,11.03
0,32.4,24.6,28.5,3,360,11.32,10.85,11.04
0,31.5,24.5,28,2,220,11.21,10.88,11.04
0,29.8,24.3,27.1,2,180,11.25,10.85,11.02
0,29.9,24,27,4,360,11.2,10.81,10.98
0,30.8,23.5,27.2,2,360,11.3,10.72,10.98
7.4,28.9,22.4,25.6,4,40,11.77,10.72,11.2
6.8,26.8,22.8,24.8,4,360,11.41,10.71,11.02
7.8,30,23,26.5,3,360,11.44,10.67,11.02
12.6,29,23.5,26.3,2,320,11.61,10.71,11.08
0,31.5,26,28.8,3,140,11.53,10.75,11.1
0,30.3,25.5,27.9,3,200,11.5,10.76,11.07
0,30.5,24.5,27.5,4,200,11.49,10.7,11.06
0,31.3,25,28.2,2,270,11.45,10.77,11.05
0,31.2,25.2,28.2,2,270,11.41,10.78,11.04
2,29.8,24.5,27.2,2,340,11.35,10.83,11.03
0,32.5,24.5,28.5,2,270,11.24,10.84,11.03
0,30.5,25,27.8,2,360,11.19,10.87,11.02
0,31.2,25.8,28.5,2,360,11.24,10.84,11.01
0,29.5,25.3,27.4,3,180,11.27,10.78,11
0,31.2,24.8,28,2,180,11.31,10.77,11.01
0,30.5,24.5,27.5,2,140,11.39,10.75,11.01
0,31.2,25,28.1,2,90,11.48,10.62,11.01
0,33,24.8,28.9,3,90,11.55,10.6,11.01
0,32.5,25.5,29,2,40,11.59,10.61,11.02
10,29.2,25,27.1,2,360,11.57,10.62,11
0,31.8,24,27.9,3,40,11.48,10.63,10.95
0,31.6,24.6,28.1,2,240,11.39,10.68,10.95
0,31.5,25.1,28.3,2,220,11.34,10.7,10.95
0,30.8,23.5,27.2,3,270,11.3,10.72,10.96
0,30.8,24.5,27.7,2,270,11.18,10.72,10.94
0,30,25,27.5,2,180,11.2,10.68,10.92
0,33.2,26.5,29.9,4,120,11.25,10.7,10.95
0.6,31.8,26.3,29.1,2,220,11.27,10.68,10.96
0,33.5,26.2,29.9,2,240,11.3,10.71,10.97
0.2,33,26.1,29.5,3,60,11.3,10.7,10.96
0,33,27,30,3,120,11.29,10.57,10.94
0,33.4,26.1,29.8,2,140,11.32,10.61,10.94
0,33.4,25.4,29.4,3,120,11.32,10.65,10.94
0,33.8,26.5,30.1,3,40,11.29,10.61,10.92
0,34.6,27.2,30.9,3,120,11.26,10.62,10.89
5.8,33.2,25.4,29.3,3,200,11.26,10.64,10.9
0.5,32.2,25.6,28.9,3,180,11.25,10.1,10.9
0,31.2,26.5,28.9,4,220,11.19,10.73,10.95
0,31.8,27,29.4,4,220,11.2,10.67,10.96
0,33.8,27.5,30.6,3,220,11.29,10.67,10.96
9.2,31.5,26.2,28.9,2,200,11.3,10.61,10.94
0,33.4,25.7,29.6,3,90,11.32,10.58,10.92
0,33.2,27,30.1,2,120,11.3,10.58,10.93
0,32.5,25,28.8,3,240,11.34,10.57,10.93
0,34.8,27,30.9,3,140,11.35,10.57,10.95
0,34,27.5,30.8,2,120,11.38,10.57,10.96
0,35,27.8,31.4,3,160,11.36,10.57,10.94
0,34.5,27.7,31.1,3,220,11.35,10.58,10.93
0,34.3,27.5,30.9,3,90,11.31,10.63,11.29
0,34.8,27.6,31.2,2,200,11.25,10.62,10.91
